,gene,cluster
552,MYOPARR,39
553,MIR548S,14
554,PCDHGB2,22
555,TRAV27,47
556,DUX4L7,11
557,IGLV1-51,12
558,OR7E85P,34
559,TRBV7-6,46
560,MIR451B,31
561,MIR6815,48
562,OR5AQ1P,18
563,OR5B15P,43
564,TRAV17,5
565,SLC35G4,24
566,TRAJ57,0
567,IGHV1-2,16
568,CT47A10,13
569,MIR6838,4
570,H3C4,45
571,H2BC21,42
572,USP17L18,20
573,MIR6772,44
574,TRBJ1-6,55
575,TRAJ20,0
576,IGHV3OR15-7,17
577,TRBV7-7,47
578,TRBV3-1,5
579,TRAJ38,0
580,IGKV1D-16,12
581,OR8L1P,18
582,IGLV5-39,50
583,IGHV3OR16-8,17
584,IGLV3-10,57
585,IGKV6-21,52
586,OR4D7P,43
587,IGHV4-61,17
588,OR4K2,24
589,TRAV13-2,5
590,TRAJ9,0
591,TRBJ2-7,53
592,IGKV2D-30,12
593,TRNAD-GUC,33
594,MIR5697,41
595,MIR6511A4,44
596,OR5AP1P,18
597,IGLV3-1,16
598,MIR6862-2,39
599,MIR3689D2,27
600,MIR7976,41
601,IGHV2-5,12
602,TRBV6-7,53
603,MIR4667,25
604,PCDHGB6,22
605,OR7E23P,36
606,TEX44,21
607,OR7E43P,36
608,IGLC7,16
609,TRBV6-3,53
610,OR6C72P,28
611,MIR6127,4
612,PCDHGB7,22
613,MIR8083,41
614,IGHV3-23,16
615,IGKV5-2,12
616,TRAJ27,0
617,H3C8,19
618,ATP8B2,3
619,IGHV4-59,16
620,RN7SKP60,2
621,OR2B3,24
622,CNTNAP3C,26
623,IGHV4-38-2,50
624,TRAV8-2,5
625,TRAJ24,0
626,IGHV4-30-2,17
627,IGLV2-18,9
628,IGKV2D-24,52
629,TRAJ7,0
630,MIR514A1,10
631,TRDV1,5
632,IGHV3-33,12
633,TRNAA-AGC,33
634,PRAMEF1,38
635,TRAV8-6,5
636,MT-ND6,23
637,MIR4448,48
638,IGKV1D-43,52
639,IGKV2D-26,52
640,MIR3121,37
641,IGKV3D-7,52
642,TRAV4,5
643,TRBJ2-6,53
644,OR6C7P,28
645,OR7E31P,36
646,OR52B1P,34
647,USP17L24,20
648,IGHV6-1,17
649,MIR6888,14
650,MIR4730,31
651,OR8Q1P,8
652,OR7E105P,34
653,FAM90A19,15
654,MIR3158-2,26
655,TRAJ54,0
656,TRAJ44,0
657,IGHV3-73,16
658,IGHV4-28,17
659,KRTAP4-7,Singleton
660,OR2J2,Singleton
661,ASB18,Singleton
662,DUSP21,Singleton
663,OR11A1,Singleton
664,OR3A1,Singleton
665,OR7A10,Singleton
666,OR1E1,Singleton
667,OR3A3,Singleton
668,OR6A2,Singleton
669,UBE2U,Singleton
670,OR2F2,Singleton
671,CDRT4,Singleton
672,GAGE1,Singleton
673,ASB12,Singleton
674,DNAJB8,Singleton
675,TAS2R9,Singleton
676,SPATA3,Singleton
677,POTEG,Singleton
678,GTSF1L,Singleton
679,VCX2,Singleton
680,PABPC1L2A,Singleton
681,KRT71,Singleton
682,TBATA,Singleton
683,TAS2R8,Singleton
684,TAAR2,Singleton
685,TAS2R1,Singleton
686,C1QTNF9,Singleton
687,IFNL1,Singleton
688,OR2J3,Singleton
689,GOLGA6L6,Singleton
690,GOLGA6B,Singleton
691,POTEM,Singleton
692,OR10H1,Singleton
693,OR7C2,Singleton
694,OPN1MW,Singleton
695,SPZ1,Singleton
696,NT5C1B,Singleton
697,FSCB,Singleton
698,USP17L2,Singleton
699,CAPZA3,Singleton
700,IL36A,Singleton
701,GALNTL5,Singleton
702,SPEM1,Singleton
703,POTEI,Singleton
704,OPN1LW,Singleton
705,KRT25,Singleton
706,GPR78,Singleton
707,PGA5,Singleton
708,IFNL3,Singleton
709,ENTHD1,Singleton
710,OR1F1,Singleton
711,TBC1D28,Singleton
712,ODF3,Singleton
713,GOLGA6D,Singleton
714,SPPL2C,Singleton
715,TPD52L3,Singleton
716,MCHR2,Singleton
717,ACTRT2,Singleton
718,STRA8,Singleton
719,LELP1,Singleton
720,SKOR2,Singleton
721,HEPN1,Singleton
722,KRTAP1-5,Singleton
723,SPANXC,Singleton
724,TAAR1,Singleton
725,KRT74,Singleton
726,OTOG,Singleton
727,NKX2-4,Singleton
728,PANX3,Singleton
729,HMGB4,Singleton
730,KRTAP1-1,Singleton
731,LYPD4,Singleton
732,DNAJB7,Singleton
733,CEACAM16,Singleton
734,DAOA,Singleton
735,AWAT2,Singleton
736,OR10H3,Singleton
737,STH,Singleton
738,PFN3,Singleton
739,ZIM3,Singleton
740,OPN5,Singleton
741,GOLGA6C,Singleton
742,IGH,Singleton
743,POTEE,Singleton
744,CLDN25,Singleton
745,SLC36A3,Singleton
746,IGSF23,Singleton
747,MSANTD3-TMEFF1,Singleton
748,SPINK8,Singleton
749,POTEH,Singleton
750,TRIM42,Singleton
751,DMRTC2,Singleton
752,SCGB1D1,Singleton
753,TMPRSS12,Singleton
754,IQCF3,Singleton
755,TMPRSS11F,Singleton
756,CLDN22,Singleton
757,PRM3,Singleton
758,POM121L12,Singleton
759,TAS1R2,Singleton
760,FABP12,Singleton
761,PDILT,Singleton
762,NKX6-3,Singleton
763,TRIM49C,Singleton
764,OTOP3,Singleton
765,NXNL1,Singleton
766,CST9,Singleton
767,NBPF19,Singleton
768,AWAT1,Singleton
769,TTLL8,Singleton
770,SPATA16,Singleton
771,SLC7A13,Singleton
772,CIB3,Singleton
773,GIMAP1-GIMAP5,Singleton
774,POTED,Singleton
775,GRXCR1,Singleton
776,LRRC70,Singleton
777,OR1A2,Singleton
778,PTCHD3,Singleton
779,BPIFA3,Singleton
780,GABRR3,Singleton
781,SIRPD,Singleton
782,KRTAP2-3,Singleton
783,KHDC1L,Singleton
784,TMEM174,Singleton
785,BHLHA9,Singleton
786,OTUD6A,Singleton
787,SULT1C3,Singleton
788,PRAC1,Singleton
789,ABHD16B,Singleton
790,DEFB103B,Singleton
791,IFNL2,Singleton
792,CD200R1L,Singleton
793,RNASE10,Singleton
794,PABPC1L2B,Singleton
795,TRIML1,Singleton
796,PRAMEF8,Singleton
797,IGK,Singleton
798,VCX,Singleton
799,LRRC52,Singleton
800,OR4N2,Singleton
801,MBD3L2,Singleton
802,GRAPL,Singleton
803,OR9Q1,Singleton
804,IGFL3,Singleton
805,TMPRSS7,Singleton
806,FOXB2,Singleton
807,TMCO5A,Singleton
808,CPLX4,Singleton
809,SAMD7,Singleton
810,USP17L5,Singleton
811,KRBA2,Singleton
812,SPINK6,Singleton
813,TRA,Singleton
814,LRRC51,Singleton
815,CABS1,Singleton
816,POTEJ,Singleton
817,RFPL4B,Singleton
818,FRG2C,Singleton
819,LYZL1,Singleton
820,SPATA19,Singleton
821,RFPL4A,Singleton
822,TAS2R38,Singleton
823,TGM6,Singleton
824,SRRM5,Singleton
825,SLC15A5,Singleton
826,SUN5,Singleton
827,NLRP8,Singleton
828,OR1E2,Singleton
829,MCTS2,Singleton
830,MSMP,Singleton
831,FOXR1,Singleton
832,TSGA13,Singleton
833,ARGFX,Singleton
834,RNASE11,Singleton
835,RPS4Y2,Singleton
836,KNCN,Singleton
837,LRIT2,Singleton
838,IL36B,Singleton
839,KRT40,Singleton
840,PGBD3,Singleton
841,TMIGD3,Singleton
842,GUCA1C,Singleton
843,TBC1D26,Singleton
844,IL31,Singleton
845,R3HDML,Singleton
846,MRGPRX1,Singleton
847,GPR119,Singleton
848,SPANXB1,Singleton
849,TRIM49,Singleton
850,AADACL3,Singleton
851,OR2C3,Singleton
852,USP26,Singleton
853,DEFB118,Singleton
854,TRIM60,Singleton
855,KCNK18,Singleton
