,gene,cluster
8731,IER3,Singleton
8732,TNIP1,Singleton
8733,EHD1,Singleton
8734,MGAT1,Singleton
8735,NFKB2,Singleton
8736,BCL3,Singleton
8737,MYO9B,Singleton
8738,PRKCD,Singleton
8739,SOD2,Singleton
8740,RELB,Singleton
8741,PTGS2,Singleton
8742,TLR2,Singleton
8743,SBNO2,Singleton
8744,CD68,Singleton
8745,PSAP,Singleton
8746,MAN2B1,Singleton
8747,IL6,Singleton
8748,IL1B,Singleton
8749,ACSL1,Singleton
8750,CTSZ,Singleton
8751,TRIM25,Singleton
8752,TLN1,Singleton
8753,GNAI2,Singleton
8754,OGFR,Singleton
8755,TLR4,Singleton
8756,TNFRSF1B,Singleton
8757,HCK,Singleton
8758,CASP3,Singleton
8759,NINJ1,Singleton
8760,CCL2,Singleton
8761,CD14,Singleton
8762,PFKFB3,Singleton
8763,LYN,Singleton
8764,CTSS,Singleton
8765,PLAUR,Singleton
8766,FCGRT,Singleton
8767,ZC3H12A,Singleton
8768,ARHGEF2,Singleton
8769,IGF2R,Singleton
8770,MMP9,Singleton
8771,SIRPA,Singleton
8772,TMEM127,Singleton
8773,VASP,Singleton
8774,NUCB1,Singleton
8775,FOSL2,Singleton
8776,CCR5,Singleton
8777,TNFAIP2,Singleton
8778,HLA-A,Singleton
8779,CD40,Singleton
8780,ARAP1,Singleton
8781,RNF19B,Singleton
8782,SOCS3,Singleton
8783,CTSD,Singleton
8784,LITAF,Singleton
8785,UNC93B1,Singleton
8786,STAT6,Singleton
8787,TAOK2,Singleton
8788,ELF4,Singleton
8789,GBP2,Singleton
8790,FURIN,Singleton
8791,TICAM1,Singleton
8792,GAA,Singleton
8793,IL10,Singleton
8794,PIK3R5,Singleton
8795,SLC15A3,Singleton
8796,CTSB,Singleton
8797,LILRB2,Singleton
8798,HLA-B,Singleton
8799,KIT,Singleton
8800,TCIRG1,Singleton
8801,WDR1,Singleton
8802,SDF4,Singleton
8803,DNM2,Singleton
8804,PLEKHO2,Singleton
8805,LAPTM5,Singleton
8806,ARRB2,Singleton
8807,RAPGEF1,Singleton
8808,TMBIM1,Singleton
8809,GRINA,Singleton
8810,ANXA11,Singleton
8811,ARHGEF11,Singleton
8812,UPF1,Singleton
8813,RAB35,Singleton
8814,PLEKHM2,Singleton
8815,BAX,Singleton
8816,IRF1,Singleton
8817,TYROBP,Singleton
8818,TAP1,Singleton
8819,LGALS9,Singleton
8820,AMPD3,Singleton
8821,FAS,Singleton
8822,MCL1,Singleton
8823,ZDHHC5,Singleton
8824,EMILIN2,Singleton
8825,TOM1,Singleton
8826,C1QA,Singleton
8827,EHBP1L1,Singleton
8828,NCF2,Singleton
8829,LRP10,Singleton
8830,TYMP,Singleton
8831,MSC,Singleton
8832,IL1RN,Singleton
8833,PILRA,Singleton
8834,PTPN1,Singleton
8835,TRAF1,Singleton
8836,SPHK1,Singleton
8837,MSN,Singleton
8838,CHMP4B,Singleton
8839,CCR1,Singleton
8840,EFHD2,Singleton
8841,IL10RA,Singleton
8842,LCP1,Singleton
8843,MVP,Singleton
8844,RXRA,Singleton
8845,PIM3,Singleton
8846,SPI1,Singleton
8847,CYTH1,Singleton
8848,MINK1,Singleton
8849,TGOLN2,Singleton
8850,STX11,Singleton
8851,ANAPC2,Singleton
8852,NOD2,Singleton
8853,CD274,Singleton
8854,LILRB3,Singleton
8855,TNFRSF14,Singleton
8856,RPS6KA1,Singleton
8857,ABCD1,Singleton
8858,PPP1R18,Singleton
8859,CSF1R,Singleton
8860,IL13RA1,Singleton
8861,ADORA2A,Singleton
8862,HLA-E,Singleton
8863,GAK,Singleton
8864,STK40,Singleton
8865,ITGAX,Singleton
8866,OSCAR,Singleton
8867,FMNL1,Singleton
8868,MOGS,Singleton
8869,PTPN6,Singleton
8870,KLF13,Singleton
8871,ELL,Singleton
8872,FLII,Singleton
8873,IFNGR2,Singleton
8874,SUPT6H,Singleton
8875,INPPL1,Singleton
8876,HELZ2,Singleton
8877,CD163,Singleton
8878,CREG1,Singleton
8879,EGF,Singleton
8880,LILRB4,Singleton
8881,CSK,Singleton
8882,CTDSP1,Singleton
8883,PIK3CD,Singleton
8884,SLC43A2,Singleton
8885,PLCB2,Singleton
8886,CIC,Singleton
8887,FCER1G,Singleton
8888,TNFRSF1A,Singleton
8889,KDM5C,Singleton
8890,RAB5C,Singleton
8891,SIGLEC1,Singleton
8892,RHOG,Singleton
8893,SPSB1,Singleton
8894,HCLS1,Singleton
8895,DHX58,Singleton
8896,ISY1-RAB43,Singleton
8897,IFI30,Singleton
8898,ERF,Singleton
8899,LILRB1,Singleton
8900,C1QC,Singleton
8901,APH1A,Singleton
8902,GMIP,Singleton
8903,PICALM,Singleton
8904,CYBB,Singleton
8905,PNPLA6,Singleton
8906,ABCC1,Singleton
8907,FBRS,Singleton
8908,CYBA,Singleton
8909,PPARD,Singleton
8910,SLC4A2,Singleton
8911,C5AR1,Singleton
8912,IRF5,Singleton
8913,MYO1F,Singleton
8914,DRAM1,Singleton
8915,TFE3,Singleton
8916,MX2,Singleton
8917,MMP19,Singleton
8918,SIGLEC9,Singleton
8919,STXBP2,Singleton
8920,THEMIS2,Singleton
8921,CD53,Singleton
8922,NPL,Singleton
8923,PPP6R1,Singleton
8924,MYD88,Singleton
8925,FGR,Singleton
8926,GPR84,Singleton
8927,PIK3AP1,Singleton
8928,PACSIN2,Singleton
8929,GRAMD1A,Singleton
8930,MAP2K3,Singleton
8931,NFKBIE,Singleton
8932,AP5B1,Singleton
8933,TLR8,Singleton
8934,PML,Singleton
8935,GNB2,Singleton
8936,LCP2,Singleton
8937,ADAM8,Singleton
8938,ARHGAP31,Singleton
8939,NCKAP1L,Singleton
8940,TBC1D2B,Singleton
8941,TMEM63B,Singleton
8942,CYTH4,Singleton
8943,SLC2A6,Singleton
8944,AOAH,Singleton
8945,WAS,Singleton
8946,LSP1,Singleton
8947,IL6R,Singleton
8948,RHO,Singleton
8949,SUN2,Singleton
8950,DOCK2,Singleton
8951,KHNYN,Singleton
8952,SLAMF7,Singleton
8953,IRAK2,Singleton
8954,IL17RA,Singleton
8955,WIPF1,Singleton
8956,RASSF5,Singleton
8957,VAV1,Singleton
8958,TRIP10,Singleton
8959,SOCS1,Singleton
8960,NADK,Singleton
8961,METRNL,Singleton
8962,STAT5A,Singleton
8963,TRAPPC10,Singleton
8964,SH3BP1,Singleton
8965,CCRL2,Singleton
8966,C3AR1,Singleton
8967,ATXN7L3,Singleton
8968,PLEKHO1,Singleton
8969,WDR81,Singleton
8970,SZRD1,Singleton
8971,TYK2,Singleton
8972,APOBR,Singleton
8973,SCAF1,Singleton
8974,ALOX5,Singleton
8975,CSF2RB,Singleton
8976,SBF1,Singleton
8977,NCF1,Singleton
8978,ARHGAP30,Singleton
8979,RIN3,Singleton
8980,GPSM3,Singleton
8981,PBX2,Singleton
8982,MYO1G,Singleton
8983,RIPK1,Singleton
8984,B4GALT5,Singleton
8985,AQP9,Singleton
8986,MPEG1,Singleton
8987,CXCL3,Singleton
8988,IL4R,Singleton
8989,CHST15,Singleton
8990,TG,Singleton
8991,SMAP2,Singleton
8992,OASL,Singleton
8993,PARP10,Singleton
8994,PIEZO1,Singleton
8995,ARHGAP27,Singleton
8996,NLRC5,Singleton
8997,STAB1,Singleton
8998,MOB3C,Singleton
8999,TEP1,Singleton
9000,ADCY7,Singleton
9001,SECTM1,Singleton
9002,NBEAL2,Singleton
9003,GRK2,Singleton
9004,SERPINB2,Singleton
9005,REXO1,Singleton
9006,CRP,Singleton
9007,RAB7B,Singleton
9008,LACTB,Singleton
9009,CMTR1,Singleton
9010,FLVCR2,Singleton
9011,GPR132,Singleton
9012,ZNFX1,Singleton
9013,REN,Singleton
9014,ADGRE2,Singleton
9015,DCAF15,Singleton
9016,CD80,Singleton
9017,KMO,Singleton
9018,XAB2,Singleton
9019,KDM2A,Singleton
9020,RNASE1,Singleton
9021,ADGRE5,Singleton
9022,IL15RA,Singleton
9023,CLCF1,Singleton
9024,IL27,Singleton
9025,ARHGAP45,Singleton
9026,VSIG4,Singleton
9027,EVI2B,Singleton
9028,NIPAL4,Singleton
9029,FOLR2,Singleton
9030,NECTIN2,Singleton
9031,CASP5,Singleton
9032,LILRB5,Singleton
9033,SUSD6,Singleton
9034,NEURL3,Singleton
9035,ACOD1,Singleton
9036,TNIP3,Singleton
9037,CCL3L3,Singleton
9038,MGAT4C,Singleton
9039,FOXE3,Singleton
9040,PAPOLB,Singleton
9041,RNF17,Singleton
9042,GRK1,Singleton
9043,PIWIL1,Singleton
9044,DMRTA2,Singleton
9045,LCT,Singleton
9046,IL31RA,Singleton
9047,DKKL1,Singleton
9048,TCP10L,Singleton
9049,KRT12,Singleton
9050,DCDC2,Singleton
9051,GSG1,Singleton
9052,DNAH8,Singleton
9053,TNP1,Singleton
9054,PRND,Singleton
9055,GABRR1,Singleton
9056,TSSK1B,Singleton
9057,KLK2,Singleton
9058,CCIN,Singleton
9059,OR2H2,Singleton
9060,TEX12,Singleton
9061,PRM1,Singleton
9062,BTN1A1,Singleton
9063,PRSS21,Singleton
9064,CRYBB2,Singleton
9065,SRMS,Singleton
9066,FNDC8,Singleton
9067,ANKRD45,Singleton
9068,SLAMF9,Singleton
9069,FOXN4,Singleton
9070,IRGC,Singleton
9071,TDRD5,Singleton
9072,TIMD4,Singleton
9073,RLN1,Singleton
9074,CCDC169,Singleton
9075,INSM2,Singleton
9076,ANKRD7,Singleton
9077,MAEL,Singleton
9078,ALLC,Singleton
9079,OMP,Singleton
9080,TSSK6,Singleton
9081,TPSG1,Singleton
9082,PRM2,Singleton
9083,DMRT3,Singleton
9084,NAA11,Singleton
9085,IL25,Singleton
9086,TMEM229A,Singleton
9087,CRISP2,Singleton
9088,CPA6,Singleton
9089,ZIM2,Singleton
9090,OOEP,Singleton
9091,ERAS,Singleton
9092,TGM4,Singleton
9093,MEIG1,Singleton
9094,PROKR1,Singleton
9095,UGT3A2,Singleton
9096,AARD,Singleton
9097,CAPSL,Singleton
9098,TMC1,Singleton
9099,COL6A5,Singleton
9100,CYP2F1,Singleton
9101,PPP3R2,Singleton
9102,TTC29,Singleton
9103,CTAGE9,Singleton
9104,OR7D2,Singleton
9105,TRPM5,Singleton
9106,TEKT4,Singleton
9107,IDO2,Singleton
9108,VSIG1,Singleton
9109,SH2D4B,Singleton
9110,RLN2,Singleton
9111,CDKL4,Singleton
9112,TUBB8,Singleton
9113,CCDC38,Singleton
9114,UMODL1,Singleton
9115,MAP3K19,Singleton
9116,FAM81B,Singleton
9117,SLC35F4,Singleton
9118,ADGB,Singleton
9119,MORN5,Singleton
9120,RIMBP3,Singleton
9121,SNX31,Singleton
9122,RTL1,Singleton
9123,ADAM29,Singleton
9124,ZNF99,Singleton
9125,KLF17,Singleton
9126,SVOPL,Singleton
9127,DYDC2,Singleton
9128,ISM2,Singleton
9129,FAM133A,Singleton
9130,NPAP1,Singleton
9131,SPATA4,Singleton
9132,UTS2R,Singleton
9133,CEP126,Singleton
9134,WDR38,Singleton
9135,CCDC60,Singleton
9136,TXNDC2,Singleton
9137,FAM216B,Singleton
9138,COX8C,Singleton
9139,ZNF709,Singleton
9140,VWA5B1,Singleton
9141,DCAF12L2,Singleton
9142,TMEM190,Singleton
9143,RAD51AP2,Singleton
9144,TCTE1,Singleton
9145,FRMPD2,Singleton
9146,FER1L6,Singleton
9147,NXPE2,Singleton
9148,ANKRD30B,Singleton
9149,NPW,Singleton
9150,FAM72C,Singleton
9151,OPTC,Singleton
9152,CFAP54,Singleton
9153,CPSF4L,Singleton
9154,CCDC96,Singleton
9155,UBL4B,Singleton
9156,MAGEA8,Singleton
9157,FOXL2NB,Singleton
9158,TEKT5,Singleton
9159,AXDND1,Singleton
9160,CCDC73,Singleton
9161,TTLL10,Singleton
9162,TOMM20L,Singleton
9163,PNMA5,Singleton
9164,STOML3,Singleton
9165,HSF5,Singleton
9166,EFCAB10,Singleton
9167,ROPN1,Singleton
9168,DNAJC5B,Singleton
9169,SNTN,Singleton
9170,TTC16,Singleton
9171,SMIM22,Singleton
9172,MFSD6L,Singleton
9173,ZPLD1,Singleton
9174,KRTAP5-8,Singleton
9175,TMPRSS11A,Singleton
9176,KRT72,Singleton
9177,GAL3ST2,Singleton
9178,RNF151,Singleton
9179,ZSCAN5B,Singleton
9180,PLA2G2C,Singleton
9181,APOBEC4,Singleton
9182,LRRC9,Singleton
9183,PPP1R42,Singleton
9184,USP50,Singleton
9185,ANKRD20A1,Singleton
9186,TTC6,Singleton
9187,SPATA22,Singleton
9188,ZNF683,Singleton
9189,CCDC54,Singleton
9190,FNDC7,Singleton
9191,SPATA12,Singleton
9192,FAM221B,Singleton
9193,CATSPERD,Singleton
9194,OCM,Singleton
9195,SAXO2,Singleton
9196,SPACA4,Singleton
9197,SYCE3,Singleton
9198,TRAPPC3L,Singleton
9199,ZNF112,Singleton
9200,SMIM6,Singleton
9201,MUC19,Singleton
9202,DAW1,Singleton
9203,TEPP,Singleton
9204,CFAP74,Singleton
9205,ZNF730,Singleton
9206,SPATA21,Singleton
9207,ANKRD18B,Singleton
9208,LRRC18,Singleton
9209,RNF148,Singleton
9210,CCDC42,Singleton
9211,MUC8,Singleton
9212,CCDC168,Singleton
9213,TPPP2,Singleton
9214,ZNF560,Singleton
9215,ZNF648,Singleton
9216,KIAA1210,Singleton
9217,PRSS37,Singleton
9218,IGFL2,Singleton
9219,NHLRC4,Singleton
9220,PRH2,Singleton
9221,CFAP65,Singleton
9222,TEX26,Singleton
9223,CPA5,Singleton
9224,CFAP70,Singleton
9225,FAM187B,Singleton
9226,SLC25A2,Singleton
9227,FAM181A,Singleton
9228,LDLRAD1,Singleton
9229,NLRP14,Singleton
9230,SLC9C1,Singleton
9231,ZSCAN4,Singleton
9232,CLEC18C,Singleton
9233,RSPH10B2,Singleton
9234,LRRC74B,Singleton
9235,ARMS2,Singleton
9236,TSPAN19,Singleton
9237,LRRD1,Singleton
9238,STPG2,Singleton
9239,SUN3,Singleton
9240,CALHM3,Singleton
9241,SPDYE2B,Singleton
9242,OR2C1,Singleton
9243,CCDC27,Singleton
9244,FAM9C,Singleton
9245,GJB7,Singleton
9246,MS4A8,Singleton
9247,ZSCAN1,Singleton
9248,CCDC178,Singleton
9249,ZNF20,Singleton
9250,RNF133,Singleton
9251,TSPYL6,Singleton
9252,CCDC190,Singleton
9253,IL17REL,Singleton
9254,DNAJC5G,Singleton
9255,LRRC63,Singleton
9256,TTLL2,Singleton
9257,CTAGE4,Singleton
9258,TKTL2,Singleton
9259,HIGD1C,Singleton
9260,DRC3,Singleton
9261,TLDC2,Singleton
9262,FATE1,Singleton
9263,WDR64,Singleton
9264,ZNF98,Singleton
9265,ACSM4,Singleton
9266,CFAP100,Singleton
9267,WDR87,Singleton
9268,LCNL1,Singleton
9269,KDM4E,Singleton
9270,MROH5,Singleton
9271,AKAP14,Singleton
9272,FOXD4L1,Singleton
9273,PLEKHG7,Singleton
9274,CTAGE8,Singleton
9275,NXPE1,Singleton
9276,CFAP126,Singleton
9277,LYG2,Singleton
9278,SPATA32,Singleton
9279,SH2D7,Singleton
9280,LSMEM2,Singleton
9281,DRC7,Singleton
9282,GDPD4,Singleton
9283,CFAP157,Singleton
9284,CFAP53,Singleton
9285,CFAP206,Singleton
9286,CIB4,Singleton
9287,TTLL13,Singleton
9288,ANTXRL,Singleton
9289,SLC35G6,Singleton
9290,A3GALT2,Singleton
9291,SEL1L2,Singleton
9292,CCDC187,Singleton
9293,CROCC2,Singleton
9294,CFAP52,Singleton
9295,NANOGP8,Singleton
9296,ANKRD66,Singleton
9297,SLC9C2,Singleton
9298,PGA4,Singleton
9299,TMEM31,Singleton
9300,ZNF705A,Singleton
9301,TEDDM1,Singleton
9302,FAM228A,Singleton
9303,TSGA10IP,Singleton
9304,FAM170A,Singleton
9305,OR10AD1,Singleton
9306,MANSC4,Singleton
9307,FAM177B,Singleton
9308,SEC14L6,Singleton
9309,ZNF728,Singleton
9310,LRRIQ4,Singleton
9311,EQTN,Singleton
9312,WFDC6,Singleton
9313,LIPJ,Singleton
9314,NUTM1,Singleton
9315,VCX3B,Singleton
9316,KIAA2012,Singleton
9317,CDRT15,Singleton
9318,GOLGA8J,Singleton
9319,TMEM89,Singleton
9320,LKAAEAR1,Singleton
9321,SMCO2,Singleton
9322,MAGEB17,Singleton
9323,ERICH4,Singleton
9324,CFAP77,Singleton
9325,HEATR9,Singleton
9326,OR1L8,Singleton
9327,CT55,Singleton
9328,DEFB124,Singleton
9329,WFDC10B,Singleton
9330,LRRC74A,Singleton
9331,SMIM2,Singleton
9332,ZC2HC1B,Singleton
9333,PTX4,Singleton
9334,OR8S1,Singleton
9335,MROH2B,Singleton
9336,SLC25A52,Singleton
9337,KRTAP5-7,Singleton
9338,CFAP73,Singleton
9339,SDR42E2,Singleton
9340,KRTAP5-10,Singleton
9341,GOLGA8S,Singleton
9342,OVOL3,Singleton
9343,OR11H7,Singleton
9344,THEGL,Singleton
9345,SPATA45,Singleton
9346,GAGE10,Singleton
9347,SUPT20HL1,Singleton
9348,TBCA,Singleton
9349,CBX5,Singleton
9350,UBQLN1,Singleton
9351,HBS1L,Singleton
9352,RNPS1,Singleton
9353,PITPNB,Singleton
9354,MRPS7,Singleton
9355,MRPL15,Singleton
9356,TAP2,Singleton
9357,CYB5B,Singleton
9358,PPP2CB,Singleton
9359,TCEA3,Singleton
9360,GSPT1,Singleton
9361,ABCF2,Singleton
9362,DDX27,Singleton
9363,CSF3R,Singleton
9364,KEAP1,Singleton
9365,MNDA,Singleton
9366,OPA1,Singleton
9367,UBE3A,Singleton
9368,USP9X,Singleton
9369,ATXN2,Singleton
9370,G3BP2,Singleton
9371,CAND1,Singleton
9372,ABI1,Singleton
9373,DAAM1,Singleton
9374,KRIT1,Singleton
9375,SRP9,Singleton
9376,GGCX,Singleton
9377,CUL5,Singleton
9378,SEC63,Singleton
9379,PRPF40A,Singleton
9380,PTBP2,Singleton
9381,RRN3,Singleton
9382,CCDC25,Singleton
9383,YES1,Singleton
9384,THRAP3,Singleton
9385,ARHGAP12,Singleton
9386,LRBA,Singleton
9387,RGS12,Singleton
9388,NEO1,Singleton
9389,BTBD7,Singleton
9390,FCGR3A,Singleton
9391,RAB3GAP1,Singleton
9392,ANGEL2,Singleton
9393,UBE2I,Singleton
9394,PANK3,Singleton
9395,EIF2B3,Singleton
9396,PRMT5,Singleton
9397,RAB11FIP2,Singleton
9398,SEC23B,Singleton
9399,WASL,Singleton
9400,CXCR1,Singleton
9401,ACVR2A,Singleton
9402,TDRD3,Singleton
9403,DPEP2,Singleton
9404,RABGAP1L,Singleton
9405,IL23A,Singleton
9406,USP24,Singleton
9407,FFAR2,Singleton
9408,UBP1,Singleton
9409,MEFV,Singleton
9410,KDSR,Singleton
9411,TANC1,Singleton
9412,TRAF4,Singleton
9413,RALA,Singleton
9414,CCR6,Singleton
9415,PHACTR1,Singleton
9416,SYT12,Singleton
9417,UHMK1,Singleton
9418,PPP1R3B,Singleton
9419,CD300LB,Singleton
9420,HSD17B7,Singleton
9421,PLEKHA1,Singleton
9422,SUMO3,Singleton
9423,COX17,Singleton
9424,TNFSF4,Singleton
9425,DCUN1D4,Singleton
9426,NEURL4,Singleton
9427,EFTUD2,Singleton
9428,RAB2A,Singleton
9429,HIGD1A,Singleton
9430,RBM24,Singleton
9431,TSPAN31,Singleton
9432,SGMS1,Singleton
9433,APBA2,Singleton
9434,EXOC6B,Singleton
9435,SNX2,Singleton
9436,RAB18,Singleton
9437,CYB5R1,Singleton
9438,VBP1,Singleton
9439,CORO6,Singleton
9440,PTPN3,Singleton
9441,APOBEC3A,Singleton
9442,SLIRP,Singleton
9443,SLC25A46,Singleton
9444,PIGA,Singleton
9445,GTF3C2,Singleton
9446,SIPA1L1,Singleton
9447,LILRA1,Singleton
9448,ZNRF2,Singleton
9449,NDUFB4,Singleton
9450,MTM1,Singleton
9451,EBPL,Singleton
9452,PDCD2,Singleton
9453,CAND2,Singleton
9454,PIGN,Singleton
9455,PIGT,Singleton
9456,KCNQ5,Singleton
9457,ADPRHL1,Singleton
9458,DDX23,Singleton
9459,PTBP3,Singleton
9460,LRRC2,Singleton
9461,RPL7L1,Singleton
9462,RHOT1,Singleton
9463,RNF139,Singleton
9464,RPF2,Singleton
9465,NLGN3,Singleton
9466,OSTM1,Singleton
9467,QPCTL,Singleton
9468,ADARB2,Singleton
9469,ZKSCAN5,Singleton
9470,YTHDF1,Singleton
9471,SYPL2,Singleton
9472,BLZF1,Singleton
9473,SCLY,Singleton
9474,KIAA2013,Singleton
9475,IER5L,Singleton
9476,CCZ1,Singleton
9477,TXNDC12,Singleton
9478,CHMP2B,Singleton
9479,NUDT18,Singleton
9480,EIF2B4,Singleton
9481,NGDN,Singleton
9482,ZSWIM6,Singleton
9483,MMP17,Singleton
9484,RBM17,Singleton
9485,COQ10A,Singleton
9486,KCTD20,Singleton
9487,VAMP7,Singleton
9488,SENP7,Singleton
9489,KIF24,Singleton
9490,MSRB2,Singleton
9491,KRR1,Singleton
9492,RBM19,Singleton
9493,THUMPD1,Singleton
9494,USP40,Singleton
9495,STAU1,Singleton
9496,EIF2B2,Singleton
9497,MFAP3,Singleton
9498,USP49,Singleton
9499,NOL9,Singleton
9500,SMIM14,Singleton
9501,RAB24,Singleton
9502,KRCC1,Singleton
9503,ZC3H6,Singleton
9504,RMI1,Singleton
9505,TGFBRAP1,Singleton
9506,FBXO41,Singleton
9507,SFTPD,Singleton
9508,SUMF1,Singleton
9509,SNX27,Singleton
9510,R3HDM2,Singleton
9511,DHX33,Singleton
9512,SYT17,Singleton
9513,PTPN4,Singleton
9514,CD99L2,Singleton
9515,PDXP,Singleton
9516,SLC30A7,Singleton
9517,SPATA6,Singleton
9518,RAB12,Singleton
9519,AAMP,Singleton
9520,PPIL1,Singleton
9521,PTAR1,Singleton
9522,SLAIN1,Singleton
9523,PNPLA8,Singleton
9524,EIF2A,Singleton
9525,PTCD1,Singleton
9526,JOSD1,Singleton
9527,MRPL38,Singleton
9528,UBIAD1,Singleton
9529,NAPSA,Singleton
9530,THAP1,Singleton
9531,MMP10,Singleton
9532,MOCS3,Singleton
9533,MED20,Singleton
9534,GALK2,Singleton
9535,USP44,Singleton
9536,GSTO2,Singleton
9537,POLR3E,Singleton
9538,C1GALT1C1,Singleton
9539,OSBPL11,Singleton
9540,SOX30,Singleton
9541,CDC37L1,Singleton
9542,IL18BP,Singleton
9543,RMND1,Singleton
9544,RIBC2,Singleton
9545,TMEM143,Singleton
9546,TRIM66,Singleton
9547,RAB26,Singleton
9548,UBE2W,Singleton
9549,PPP2R2D,Singleton
9550,GPRASP2,Singleton
9551,DSCAML1,Singleton
9552,KCTD9,Singleton
9553,CSMD2,Singleton
9554,LRRC3,Singleton
9555,NUDCD1,Singleton
9556,TMCO3,Singleton
9557,CASS4,Singleton
9558,LRRC39,Singleton
9559,FUCA2,Singleton
9560,CENPP,Singleton
9561,RNASEH1,Singleton
9562,CPT1C,Singleton
9563,ARSG,Singleton
9564,CNRIP1,Singleton
9565,RNF20,Singleton
9566,MTO1,Singleton
9567,DEDD2,Singleton
9568,BEGAIN,Singleton
9569,PCDHAC2,Singleton
9570,DRG2,Singleton
9571,LAMTOR5,Singleton
9572,SERTAD3,Singleton
9573,PCBD2,Singleton
9574,PTCD2,Singleton
9575,SYCP2,Singleton
9576,SPIRE2,Singleton
9577,ZNF264,Singleton
9578,AIFM3,Singleton
9579,PINX1,Singleton
9580,ICAM4,Singleton
9581,MOSPD2,Singleton
9582,OSGEP,Singleton
9583,ACER3,Singleton
9584,TCHH,Singleton
9585,GPR137C,Singleton
9586,RPGRIP1,Singleton
9587,LRRC47,Singleton
9588,MB21D2,Singleton
9589,DBF4B,Singleton
9590,ERI2,Singleton
9591,BEND6,Singleton
9592,NUDCD2,Singleton
9593,TOR4A,Singleton
9594,TPH2,Singleton
9595,UNC79,Singleton
9596,EMC6,Singleton
9597,CD101,Singleton
9598,UBE2D4,Singleton
9599,INTS10,Singleton
9600,CLDN6,Singleton
9601,ZNF492,Singleton
9602,SPEF2,Singleton
9603,MANEAL,Singleton
9604,NHLRC3,Singleton
9605,CDIP1,Singleton
9606,ZNF106,Singleton
9607,KIAA0232,Singleton
9608,CWC27,Singleton
9609,TMA16,Singleton
9610,ZNF26,Singleton
9611,USP6,Singleton
9612,HNRNPA1L2,Singleton
9613,PITHD1,Singleton
9614,ISM1,Singleton
9615,SLC2A14,Singleton
9616,RPP25L,Singleton
9617,HTR1E,Singleton
9618,ZNF550,Singleton
9619,ZNF160,Singleton
9620,MILR1,Singleton
9621,ZNF891,Singleton
9622,CCDC102A,Singleton
9623,LZTS3,Singleton
9624,ZNF611,Singleton
9625,ESYT3,Singleton
9626,WDSUB1,Singleton
9627,ZNF121,Singleton
9628,RGL3,Singleton
9629,ZNF345,Singleton
9630,ZNF136,Singleton
9631,CARF,Singleton
9632,OXCT2,Singleton
9633,EID2B,Singleton
9634,TTC5,Singleton
9635,PPP1R3F,Singleton
9636,ERCC6L2,Singleton
9637,ZNF417,Singleton
9638,ZNF585A,Singleton
9639,TSSK3,Singleton
9640,ZFP82,Singleton
9641,ANKAR,Singleton
9642,ZNF568,Singleton
9643,ZNF420,Singleton
9644,RSPH3,Singleton
9645,ZNF616,Singleton
9646,PTPRQ,Singleton
9647,ZNF738,Singleton
9648,ZNF844,Singleton
9649,DPH6,Singleton
9650,ZNF569,Singleton
9651,ZNF681,Singleton
9652,TMSB15B,Singleton
9653,KIAA2026,Singleton
9654,ZNF461,Singleton
9655,TOR2A,Singleton
9656,COA1,Singleton
9657,ZNF662,Singleton
9658,C1QL4,Singleton
9659,LCN10,Singleton
9660,TMEM221,Singleton
9661,GSTA2,Singleton
9662,SCT,Singleton
9663,TEX15,Singleton
9664,PAQR9,Singleton
9665,TLX2,Singleton
9666,AMHR2,Singleton
9667,PROZ,Singleton
9668,CDYL2,Singleton
9669,LMX1A,Singleton
9670,SRD5A2,Singleton
9671,NAT8,Singleton
9672,TEKT2,Singleton
9673,ATP1A4,Singleton
9674,CALCB,Singleton
9675,TRPV5,Singleton
9676,NTN3,Singleton
9677,AGBL2,Singleton
9678,EPHA8,Singleton
9679,NOTUM,Singleton
9680,ABHD1,Singleton
9681,FAM83F,Singleton
9682,TSKS,Singleton
9683,SYT14,Singleton
9684,TAS2R14,Singleton
9685,MAGIX,Singleton
9686,RHBG,Singleton
9687,LHX9,Singleton
9688,EPHA6,Singleton
9689,DPPA4,Singleton
9690,FAM72A,Singleton
9691,GJA3,Singleton
9692,PCDHA10,Singleton
9693,GATA5,Singleton
9694,ZNF391,Singleton
9695,FKBP6,Singleton
9696,FIBCD1,Singleton
9697,SLC22A13,Singleton
9698,SEC14L4,Singleton
9699,CHST9,Singleton
9700,SP7,Singleton
9701,EFHC2,Singleton
9702,BARX1,Singleton
9703,LRRC46,Singleton
9704,FHAD1,Singleton
9705,FBXO36,Singleton
9706,SLC17A3,Singleton
9707,TRIM39,Singleton
9708,IGDCC3,Singleton
9709,ZSCAN10,Singleton
9710,ABCC11,Singleton
9711,NOL4L,Singleton
9712,SMLR1,Singleton
9713,TFF2,Singleton
9714,LRRC75A,Singleton
9715,UPK2,Singleton
9716,CTCFL,Singleton
9717,CPTP,Singleton
9718,SPDYE1,Singleton
9719,TAS2R13,Singleton
9720,PIFO,Singleton
9721,CCDC62,Singleton
9722,NXNL2,Singleton
9723,ZNF214,Singleton
9724,LRRC34,Singleton
9725,APLF,Singleton
9726,DTHD1,Singleton
9727,NEK5,Singleton
9728,FBXL13,Singleton
9729,MAP3K15,Singleton
9730,FAM90A1,Singleton
9731,WFIKKN1,Singleton
9732,PROCA1,Singleton
